date,store_id,sku_id,units_sold,revenue,margin_proxy,promo_flag,holiday_flag,day_of_week
2025-07-04,ST001,SKU0001,3,1177.65,368.48999999999995,0,0,Friday
2025-07-04,ST001,SKU0002,4,1488.52,646.04,0,0,Friday
2025-07-04,ST001,SKU0003,8,1764.48,405.1200000000001,0,0,Friday
2025-07-04,ST001,SKU0004,10,5397.9,1547.1999999999998,0,0,Friday
2025-07-04,ST001,SKU0005,5,1312.15,434.45000000000005,0,0,Friday
2025-07-04,ST001,SKU0006,3,1203.42,227.07,0,0,Friday
2025-07-04,ST001,SKU0007,6,2095.5,448.44000000000005,0,0,Friday
2025-07-04,ST001,SKU0008,3,1465.53,285.57,0,0,Friday
2025-07-04,ST001,SKU0009,6,1279.3799999999999,509.21999999999986,0,0,Friday
2025-07-04,ST001,SKU0010,3,891.1800000000001,188.31000000000003,0,0,Friday
2025-07-04,ST001,SKU0011,8,1945.2,659.52,0,0,Friday
2025-07-04,ST001,SKU0012,3,724.38,234.48,0,0,Friday
2025-07-04,ST001,SKU0013,13,3171.61,1405.69,0,0,Friday
2025-07-04,ST001,SKU0014,3,290.07,54.77999999999997,0,0,Friday
2025-07-04,ST001,SKU0015,9,2410.2000000000003,516.6,0,0,Friday
2025-07-04,ST001,SKU0016,12,3287.5199999999995,1163.8799999999997,0,0,Friday
2025-07-04,ST001,SKU0017,9,3240.81,1326.1499999999996,0,0,Friday
2025-07-04,ST001,SKU0018,4,997.96,230.68000000000006,0,0,Friday
2025-07-04,ST001,SKU0019,11,4594.15,2049.6299999999997,0,0,Friday
2025-07-04,ST001,SKU0020,1,229.24,58.23000000000002,0,0,Friday
2025-07-04,ST001,SKU0021,21,1593.69,639.87,0,0,Friday
2025-07-04,ST001,SKU0022,6,922.1999999999999,330.2999999999999,0,0,Friday
2025-07-04,ST001,SKU0023,2,972.8,180.26,0,0,Friday
2025-07-04,ST001,SKU0024,4,896.4,223.60000000000002,0,0,Friday
2025-07-04,ST001,SKU0025,6,1427.4,483.6600000000001,0,0,Friday
2025-07-04,ST001,SKU0026,4,1954.08,605.24,0,0,Friday
2025-07-04,ST001,SKU0027,2,334.02,89.29999999999998,0,0,Friday
2025-07-04,ST001,SKU0028,1,545.36,196.43,0,0,Friday
2025-07-04,ST001,SKU0029,21,3297.0,1294.02,0,0,Friday
2025-07-04,ST001,SKU0030,0,0.0,0.0,0,0,Friday
2025-07-04,ST001,SKU0031,9,1555.56,296.18999999999994,0,0,Friday
2025-07-04,ST001,SKU0032,7,1781.5,713.2299999999999,0,0,Friday
2025-07-04,ST001,SKU0033,10,2262.0,520.0,0,0,Friday
2025-07-04,ST001,SKU0034,4,740.56,172.88,0,0,Friday
2025-07-04,ST001,SKU0035,2,370.1,161.88000000000002,0,0,Friday
2025-07-04,ST001,SKU0036,9,2229.2999999999997,853.5599999999997,0,0,Friday
2025-07-04,ST001,SKU0037,2,358.94,104.30000000000001,0,0,Friday
2025-07-04,ST001,SKU0038,13,2944.11,1077.9599999999998,0,0,Friday
2025-07-04,ST001,SKU0039,2,812.34,221.22000000000003,0,0,Friday
2025-07-04,ST001,SKU0040,6,2358.3,1035.96,0,0,Friday
2025-07-04,ST001,SKU0041,5,2768.0,1207.7,0,0,Friday
2025-07-04,ST001,SKU0042,10,1400.1,393.19999999999993,0,0,Friday
2025-07-04,ST001,SKU0043,5,383.35,90.0,0,0,Friday
2025-07-04,ST001,SKU0044,7,1749.51,694.12,0,0,Friday
2025-07-04,ST001,SKU0045,1,143.39,60.79999999999998,0,0,Friday
2025-07-04,ST001,SKU0046,2,612.0,142.62,0,0,Friday
2025-07-04,ST001,SKU0047,24,3606.24,753.3599999999997,0,0,Friday
2025-07-04,ST001,SKU0048,9,2654.7300000000005,1040.7600000000002,0,0,Friday
2025-07-04,ST001,SKU0049,4,931.76,355.72,0,0,Friday
2025-07-04,ST001,SKU0050,2,736.5,255.74,0,0,Friday
2025-07-04,ST001,SKU0051,12,5541.0,1929.6000000000001,0,0,Friday
2025-07-04,ST001,SKU0052,8,662.88,254.0,0,0,Friday
2025-07-04,ST001,SKU0053,4,2038.04,502.9200000000001,0,0,Friday
2025-07-04,ST001,SKU0054,3,1367.1,333.4799999999999,0,0,Friday
2025-07-04,ST001,SKU0055,16,3998.56,1711.6799999999998,0,0,Friday
2025-07-04,ST001,SKU0056,7,965.2299999999999,217.34999999999988,0,0,Friday
2025-07-04,ST001,SKU0057,4,486.48,102.80000000000001,0,0,Friday
2025-07-04,ST001,SKU0058,4,2523.44,640.0,0,0,Friday
2025-07-04,ST001,SKU0059,1,301.35,105.44000000000003,0,0,Friday
2025-07-04,ST001,SKU0060,13,3329.95,1326.9099999999996,0,0,Friday
2025-07-04,ST001,SKU0061,21,9877.14,2053.5899999999992,0,0,Friday
2025-07-04,ST001,SKU0062,6,1081.8000000000002,298.5600000000001,0,0,Friday
2025-07-04,ST001,SKU0063,7,2911.09,647.3600000000001,0,0,Friday
2025-07-04,ST001,SKU0064,0,0.0,0.0,0,0,Friday
2025-07-04,ST001,SKU0065,2,1124.0,370.82000000000005,0,0,Friday
2025-07-04,ST001,SKU0066,8,1380.48,306.48,0,0,Friday
2025-07-04,ST001,SKU0067,4,809.08,206.44000000000005,0,0,Friday
2025-07-04,ST001,SKU0068,2,394.36,136.2,0,0,Friday
2025-07-04,ST001,SKU0069,6,611.28,250.67999999999995,0,0,Friday
2025-07-04,ST001,SKU0070,1,160.16,66.74,0,0,Friday
2025-07-04,ST001,SKU0071,13,2677.09,789.1000000000003,0,0,Friday
2025-07-04,ST001,SKU0072,6,850.02,172.6199999999999,0,0,Friday
2025-07-04,ST001,SKU0073,12,2626.32,846.1200000000002,0,0,Friday
2025-07-04,ST001,SKU0074,26,3460.8600000000006,884.7800000000004,0,0,Friday
2025-07-04,ST001,SKU0075,7,3961.23,832.09,0,0,Friday
2025-07-04,ST001,SKU0076,0,0.0,0.0,0,0,Friday
2025-07-04,ST001,SKU0077,10,2503.7,1043.4,0,0,Friday
2025-07-04,ST001,SKU0078,1,152.86,61.21000000000001,0,0,Friday
2025-07-04,ST001,SKU0079,10,2753.2,1028.6,0,0,Friday
2025-07-04,ST001,SKU0080,8,2193.12,752.6399999999999,0,0,Friday
2025-07-04,ST001,SKU0081,3,1016.58,420.06000000000006,0,0,Friday
2025-07-04,ST001,SKU0082,4,335.48,130.08,0,0,Friday
2025-07-04,ST001,SKU0083,1,225.32,71.13,0,0,Friday
2025-07-04,ST001,SKU0084,3,1041.99,300.0899999999999,0,0,Friday
2025-07-04,ST001,SKU0085,4,514.12,109.07999999999998,0,0,Friday
2025-07-04,ST001,SKU0086,4,1043.44,270.1600000000001,0,0,Friday
2025-07-04,ST001,SKU0087,6,2666.1000000000004,982.6200000000002,0,0,Friday
2025-07-04,ST001,SKU0088,13,2568.54,518.1800000000002,0,0,Friday
2025-07-04,ST001,SKU0089,7,2651.25,1081.99,0,0,Friday
2025-07-04,ST001,SKU0090,11,1037.6299999999999,305.68999999999994,0,0,Friday
2025-07-04,ST002,SKU0001,8,3140.4,982.6399999999999,0,0,Friday
2025-07-04,ST002,SKU0002,5,1860.65,807.55,0,0,Friday
2025-07-04,ST002,SKU0003,8,1764.48,405.1200000000001,0,0,Friday
2025-07-04,ST002,SKU0004,8,4318.32,1237.7599999999998,0,0,Friday
2025-07-04,ST002,SKU0005,5,1312.15,434.45000000000005,0,0,Friday
2025-07-04,ST002,SKU0006,10,4011.3999999999996,756.9,0,0,Friday
2025-07-04,ST002,SKU0007,11,3841.75,822.1400000000001,0,0,Friday
2025-07-04,ST002,SKU0008,11,5373.61,1047.09,0,0,Friday
2025-07-04,ST002,SKU0009,3,639.6899999999999,254.60999999999993,0,0,Friday
2025-07-04,ST002,SKU0010,0,0.0,0.0,0,0,Friday
2025-07-04,ST002,SKU0011,5,1215.75,412.2,0,0,Friday
2025-07-04,ST002,SKU0012,15,3621.9,1172.3999999999999,0,0,Friday
2025-07-04,ST002,SKU0013,12,2927.64,1297.56,0,0,Friday
2025-07-04,ST002,SKU0014,7,676.8299999999999,127.81999999999994,0,0,Friday
2025-07-04,ST002,SKU0015,2,535.6,114.80000000000001,0,0,Friday
2025-07-04,ST002,SKU0016,3,821.8799999999999,290.9699999999999,0,0,Friday
2025-07-04,ST002,SKU0017,9,3240.81,1326.1499999999996,0,0,Friday
2025-07-04,ST002,SKU0018,3,748.47,173.01000000000005,0,0,Friday
2025-07-04,ST002,SKU0019,3,1252.9499999999998,558.99,0,0,Friday
2025-07-04,ST002,SKU0020,6,1375.44,349.3800000000001,0,0,Friday
2025-07-04,ST002,SKU0021,7,531.23,213.29,0,0,Friday
2025-07-04,ST002,SKU0022,1,153.7,55.04999999999998,0,0,Friday
2025-07-04,ST002,SKU0023,4,1945.6,360.52,0,0,Friday
2025-07-04,ST002,SKU0024,5,1120.5,279.5,0,0,Friday
2025-07-04,ST002,SKU0025,12,2854.8,967.3200000000002,0,0,Friday
2025-07-04,ST002,SKU0026,2,977.04,302.62,0,0,Friday
2025-07-04,ST002,SKU0027,4,668.04,178.59999999999997,0,0,Friday
2025-07-04,ST002,SKU0028,2,1090.72,392.86,0,0,Friday
2025-07-04,ST002,SKU0029,4,628.0,246.48000000000002,0,0,Friday
2025-07-04,ST002,SKU0030,1,294.57,94.44,0,0,Friday
2025-07-04,ST002,SKU0031,4,691.36,131.64,0,0,Friday
2025-07-04,ST002,SKU0032,5,1272.5,509.44999999999993,0,0,Friday
2025-07-04,ST002,SKU0033,8,1809.6,416.0,0,0,Friday
2025-07-04,ST002,SKU0034,0,0.0,0.0,0,0,Friday
2025-07-04,ST002,SKU0035,4,740.2,323.76000000000005,0,0,Friday
2025-07-04,ST002,SKU0036,12,2972.3999999999996,1138.0799999999997,0,0,Friday
2025-07-04,ST002,SKU0037,2,358.94,104.30000000000001,0,0,Friday
2025-07-04,ST002,SKU0038,15,3397.05,1243.7999999999997,0,0,Friday
2025-07-04,ST002,SKU0039,3,1218.51,331.83000000000004,0,0,Friday
2025-07-04,ST002,SKU0040,2,786.1,345.32000000000005,0,0,Friday
2025-07-04,ST002,SKU0041,4,2214.4,966.1600000000001,0,0,Friday
2025-07-04,ST002,SKU0042,5,700.05,196.59999999999997,0,0,Friday
2025-07-04,ST002,SKU0043,1,76.67,18.0,0,0,Friday
2025-07-04,ST002,SKU0044,12,2999.16,1189.92,0,0,Friday
2025-07-04,ST002,SKU0045,4,573.56,243.19999999999993,0,0,Friday
2025-07-04,ST002,SKU0046,5,1530.0,356.55,0,0,Friday
2025-07-04,ST002,SKU0047,15,2253.8999999999996,470.8499999999998,0,0,Friday
2025-07-04,ST002,SKU0048,5,1474.8500000000001,578.2,0,0,Friday
2025-07-04,ST002,SKU0049,10,2329.4,889.3000000000001,0,0,Friday
2025-07-04,ST002,SKU0050,17,6260.25,2173.79,0,0,Friday
2025-07-04,ST002,SKU0051,20,9235.0,3216.0,0,0,Friday
2025-07-04,ST002,SKU0052,5,414.3,158.75,0,0,Friday
2025-07-04,ST002,SKU0053,6,3057.06,754.3800000000001,0,0,Friday
2025-07-04,ST002,SKU0054,13,5924.099999999999,1445.0799999999995,0,0,Friday
2025-07-04,ST002,SKU0055,6,1499.46,641.8799999999999,0,0,Friday
2025-07-04,ST002,SKU0056,1,137.89,31.049999999999983,0,0,Friday
2025-07-04,ST002,SKU0057,3,364.86,77.10000000000001,0,0,Friday
2025-07-04,ST002,SKU0058,6,3785.16,960.0,0,0,Friday
2025-07-04,ST002,SKU0059,0,0.0,0.0,0,0,Friday
