date,store_id,sku_id,on_hand_open,receipts_units,on_hand_close
2025-07-04,ST001,SKU0001,58,0,55.0
2025-07-04,ST001,SKU0002,56,0,52.0
2025-07-04,ST001,SKU0003,121,0,113.0
2025-07-04,ST001,SKU0004,123,0,113.0
2025-07-04,ST001,SKU0005,103,0,98.0
2025-07-04,ST001,SKU0006,149,0,146.0
2025-07-04,ST001,SKU0007,157,0,151.0
2025-07-04,ST001,SKU0008,108,0,105.0
2025-07-04,ST001,SKU0009,52,0,46.0
2025-07-04,ST001,SKU0010,52,0,49.0
2025-07-04,ST001,SKU0011,111,0,103.0
2025-07-04,ST001,SKU0012,145,0,142.0
2025-07-04,ST001,SKU0013,110,0,97.0
2025-07-04,ST001,SKU0014,119,0,116.0
2025-07-04,ST001,SKU0015,103,0,94.0
2025-07-04,ST001,SKU0016,123,0,111.0
2025-07-04,ST001,SKU0017,109,0,100.0
2025-07-04,ST001,SKU0018,47,0,43.0
2025-07-04,ST001,SKU0019,206,0,195.0
2025-07-04,ST001,SKU0020,107,0,106.0
2025-07-04,ST001,SKU0021,146,0,125.0
2025-07-04,ST001,SKU0022,117,0,111.0
2025-07-04,ST001,SKU0023,141,0,139.0
2025-07-04,ST001,SKU0024,117,0,113.0
2025-07-04,ST001,SKU0025,108,0,102.0
2025-07-04,ST001,SKU0026,45,0,41.0
2025-07-04,ST001,SKU0027,47,0,45.0
2025-07-04,ST001,SKU0028,59,0,58.0
2025-07-04,ST001,SKU0029,133,0,112.0
2025-07-04,ST001,SKU0030,49,0,49.0
2025-07-04,ST001,SKU0031,117,0,108.0
2025-07-04,ST001,SKU0032,131,0,124.0
2025-07-04,ST001,SKU0033,194,0,184.0
2025-07-04,ST001,SKU0034,56,0,52.0
2025-07-04,ST001,SKU0035,46,0,44.0
2025-07-04,ST001,SKU0036,196,0,187.0
2025-07-04,ST001,SKU0037,150,0,148.0
2025-07-04,ST001,SKU0038,207,0,194.0
2025-07-04,ST001,SKU0039,49,0,47.0
2025-07-04,ST001,SKU0040,103,0,97.0
2025-07-04,ST001,SKU0041,57,0,52.0
2025-07-04,ST001,SKU0042,114,0,104.0
2025-07-04,ST001,SKU0043,62,0,57.0
2025-07-04,ST001,SKU0044,181,0,174.0
2025-07-04,ST001,SKU0045,110,0,109.0
2025-07-04,ST001,SKU0046,104,0,102.0
2025-07-04,ST001,SKU0047,149,0,125.0
2025-07-04,ST001,SKU0048,201,0,192.0
2025-07-04,ST001,SKU0049,106,0,102.0
2025-07-04,ST001,SKU0050,117,0,115.0
2025-07-04,ST001,SKU0051,186,0,174.0
2025-07-04,ST001,SKU0052,129,0,121.0
2025-07-04,ST001,SKU0053,147,0,143.0
2025-07-04,ST001,SKU0054,112,0,109.0
2025-07-04,ST001,SKU0055,191,0,175.0
2025-07-04,ST001,SKU0056,52,0,45.0
2025-07-04,ST001,SKU0057,101,0,97.0
2025-07-04,ST001,SKU0058,119,0,115.0
2025-07-04,ST001,SKU0059,57,0,56.0
2025-07-04,ST001,SKU0060,195,0,182.0
2025-07-04,ST001,SKU0061,150,0,129.0
2025-07-04,ST001,SKU0062,189,0,183.0
2025-07-04,ST001,SKU0063,56,0,49.0
2025-07-04,ST001,SKU0064,53,0,53.0
2025-07-04,ST001,SKU0065,58,0,56.0
2025-07-04,ST001,SKU0066,119,0,111.0
2025-07-04,ST001,SKU0067,105,0,101.0
2025-07-04,ST001,SKU0068,115,0,113.0
2025-07-04,ST001,SKU0069,197,0,191.0
2025-07-04,ST001,SKU0070,58,0,57.0
2025-07-04,ST001,SKU0071,195,0,
2025-07-04,ST001,SKU0072,113,0,107.0
2025-07-04,ST001,SKU0073,136,0,124.0
2025-07-04,ST001,SKU0074,188,0,162.0
2025-07-04,ST001,SKU0075,128,0,121.0
2025-07-04,ST001,SKU0076,53,0,53.0
2025-07-04,ST001,SKU0077,206,0,196.0
2025-07-04,ST001,SKU0078,143,0,142.0
2025-07-04,ST001,SKU0079,62,0,52.0
2025-07-04,ST001,SKU0080,101,0,93.0
2025-07-04,ST001,SKU0081,58,0,55.0
2025-07-04,ST001,SKU0082,197,0,193.0
2025-07-04,ST001,SKU0083,50,0,49.0
2025-07-04,ST001,SKU0084,49,0,46.0
2025-07-04,ST001,SKU0085,191,0,187.0
2025-07-04,ST001,SKU0086,53,0,49.0
2025-07-04,ST001,SKU0087,47,0,41.0
2025-07-04,ST001,SKU0088,147,0,134.0
2025-07-04,ST001,SKU0089,111,0,104.0
2025-07-04,ST001,SKU0090,114,0,103.0
2025-07-04,ST002,SKU0001,48,0,40.0
2025-07-04,ST002,SKU0002,48,0,43.0
2025-07-04,ST002,SKU0003,111,0,103.0
2025-07-04,ST002,SKU0004,105,0,97.0
2025-07-04,ST002,SKU0005,100,0,95.0
2025-07-04,ST002,SKU0006,144,0,134.0
2025-07-04,ST002,SKU0007,131,0,120.0
2025-07-04,ST002,SKU0008,102,0,91.0
2025-07-04,ST002,SKU0009,48,0,45.0
2025-07-04,ST002,SKU0010,42,0,42.0
2025-07-04,ST002,SKU0011,100,0,95.0
2025-07-04,ST002,SKU0012,132,0,117.0
2025-07-04,ST002,SKU0013,106,0,94.0
2025-07-04,ST002,SKU0014,113,0,106.0
2025-07-04,ST002,SKU0015,100,0,98.0
2025-07-04,ST002,SKU0016,113,0,110.0
2025-07-04,ST002,SKU0017,104,0,95.0
2025-07-04,ST002,SKU0018,48,0,45.0
2025-07-04,ST002,SKU0019,184,0,181.0
2025-07-04,ST002,SKU0020,102,0,96.0
2025-07-04,ST002,SKU0021,128,0,121.0
2025-07-04,ST002,SKU0022,112,0,111.0
2025-07-04,ST002,SKU0023,135,0,131.0
2025-07-04,ST002,SKU0024,100,0,95.0
2025-07-04,ST002,SKU0025,95,0,83.0
2025-07-04,ST002,SKU0026,42,0,40.0
2025-07-04,ST002,SKU0027,50,0,46.0
2025-07-04,ST002,SKU0028,52,0,50.0
2025-07-04,ST002,SKU0029,113,0,109.0
2025-07-04,ST002,SKU0030,43,0,42.0
2025-07-04,ST002,SKU0031,109,0,105.0
2025-07-04,ST002,SKU0032,117,0,112.0
2025-07-04,ST002,SKU0033,190,0,182.0
2025-07-04,ST002,SKU0034,48,0,48.0
2025-07-04,ST002,SKU0035,42,0,38.0
2025-07-04,ST002,SKU0036,199,0,187.0
2025-07-04,ST002,SKU0037,145,0,143.0
2025-07-04,ST002,SKU0038,181,0,166.0
2025-07-04,ST002,SKU0039,45,0,42.0
2025-07-04,ST002,SKU0040,91,0,89.0
2025-07-04,ST002,SKU0041,51,0,47.0
2025-07-04,ST002,SKU0042,116,0,111.0
2025-07-04,ST002,SKU0043,50,0,49.0
2025-07-04,ST002,SKU0044,176,0,164.0
2025-07-04,ST002,SKU0045,99,0,95.0
2025-07-04,ST002,SKU0046,105,0,100.0
2025-07-04,ST002,SKU0047,143,0,128.0
2025-07-04,ST002,SKU0048,186,0,181.0
2025-07-04,ST002,SKU0049,93,0,83.0
2025-07-04,ST002,SKU0050,121,0,104.0
2025-07-04,ST002,SKU0051,166,0,146.0
2025-07-04,ST002,SKU0052,116,0,111.0
2025-07-04,ST002,SKU0053,125,0,119.0
2025-07-04,ST002,SKU0054,107,0,94.0
