date,store_id,sku_id,units_sold,true_demand_units,stockout_censored_units,revenue,margin_proxy,promo_flag,holiday_flag,day_of_week
2025-07-04,ST001,SKU0001,3,3,0,1177.65,368.49,0,0,4
2025-07-04,ST001,SKU0002,4,4,0,1488.52,646.04,0,0,4
2025-07-04,ST001,SKU0003,8,8,0,1764.48,405.12,0,0,4
2025-07-04,ST001,SKU0004,10,10,0,5397.9,1547.2,0,0,4
2025-07-04,ST001,SKU0005,5,5,0,1312.15,434.45,0,0,4
2025-07-04,ST001,SKU0006,3,3,0,1203.42,227.07,0,0,4
2025-07-04,ST001,SKU0007,6,6,0,2095.5,448.44,0,0,4
2025-07-04,ST001,SKU0008,3,3,0,1465.53,285.57,0,0,4
2025-07-04,ST001,SKU0009,6,6,0,1279.38,509.22,0,0,4
2025-07-04,ST001,SKU0010,3,3,0,891.18,188.31,0,0,4
2025-07-04,ST001,SKU0011,8,8,0,1945.2,659.52,0,0,4
2025-07-04,ST001,SKU0012,3,3,0,724.38,234.48,0,0,4
2025-07-04,ST001,SKU0013,13,13,0,3171.61,1405.69,0,0,4
2025-07-04,ST001,SKU0014,3,3,0,290.07,54.78,0,0,4
2025-07-04,ST001,SKU0015,9,9,0,2410.2,516.6,0,0,4
2025-07-04,ST001,SKU0016,12,12,0,3287.52,1163.88,0,0,4
2025-07-04,ST001,SKU0017,9,9,0,3240.81,1326.15,0,0,4
2025-07-04,ST001,SKU0018,4,4,0,997.96,230.68,0,0,4
2025-07-04,ST001,SKU0019,11,11,0,4594.15,2049.63,0,0,4
2025-07-04,ST001,SKU0020,1,1,0,229.24,58.23,0,0,4
2025-07-04,ST001,SKU0021,21,21,0,1593.69,639.87,0,0,4
2025-07-04,ST001,SKU0022,6,6,0,922.2,330.3,0,0,4
2025-07-04,ST001,SKU0023,2,2,0,972.8,180.26,0,0,4
2025-07-04,ST001,SKU0024,4,4,0,896.4,223.6,0,0,4
2025-07-04,ST001,SKU0025,6,6,0,1427.4,483.66,0,0,4
2025-07-04,ST001,SKU0026,4,4,0,1954.08,605.24,0,0,4
2025-07-04,ST001,SKU0027,2,2,0,334.02,89.3,0,0,4
2025-07-04,ST001,SKU0028,1,1,0,545.36,196.43,0,0,4
2025-07-04,ST001,SKU0029,21,21,0,3297.0,1294.02,0,0,4
2025-07-04,ST001,SKU0030,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST001,SKU0031,9,9,0,1555.56,296.19,0,0,4
2025-07-04,ST001,SKU0032,7,7,0,1781.5,713.23,0,0,4
2025-07-04,ST001,SKU0033,10,10,0,2262.0,520.0,0,0,4
2025-07-04,ST001,SKU0034,4,4,0,740.56,172.88,0,0,4
2025-07-04,ST001,SKU0035,2,2,0,370.1,161.88,0,0,4
2025-07-04,ST001,SKU0036,9,9,0,2229.3,853.56,0,0,4
2025-07-04,ST001,SKU0037,2,2,0,358.94,104.3,0,0,4
2025-07-04,ST001,SKU0038,13,13,0,2944.11,1077.96,0,0,4
2025-07-04,ST001,SKU0039,2,2,0,812.34,221.22,0,0,4
2025-07-04,ST001,SKU0040,6,6,0,2358.3,1035.96,0,0,4
2025-07-04,ST001,SKU0041,5,5,0,2768.0,1207.7,0,0,4
2025-07-04,ST001,SKU0042,10,10,0,1400.1,393.2,0,0,4
2025-07-04,ST001,SKU0043,5,5,0,383.35,90.0,0,0,4
2025-07-04,ST001,SKU0044,7,7,0,1749.51,694.12,0,0,4
2025-07-04,ST001,SKU0045,1,1,0,143.39,60.8,0,0,4
2025-07-04,ST001,SKU0046,2,2,0,612.0,142.62,0,0,4
2025-07-04,ST001,SKU0047,24,24,0,3606.24,753.36,0,0,4
2025-07-04,ST001,SKU0048,9,9,0,2654.73,1040.76,0,0,4
2025-07-04,ST001,SKU0049,4,4,0,931.76,355.72,0,0,4
2025-07-04,ST001,SKU0050,2,2,0,736.5,255.74,0,0,4
2025-07-04,ST001,SKU0051,12,12,0,5541.0,1929.6,0,0,4
2025-07-04,ST001,SKU0052,8,8,0,662.88,254.0,0,0,4
2025-07-04,ST001,SKU0053,4,4,0,2038.04,502.92,0,0,4
2025-07-04,ST001,SKU0054,3,3,0,1367.1,333.48,0,0,4
2025-07-04,ST001,SKU0055,16,16,0,3998.56,1711.68,0,0,4
2025-07-04,ST001,SKU0056,7,7,0,965.23,217.35,0,0,4
2025-07-04,ST001,SKU0057,4,4,0,486.48,102.8,0,0,4
2025-07-04,ST001,SKU0058,4,4,0,2523.44,640.0,0,0,4
2025-07-04,ST001,SKU0059,1,1,0,301.35,105.44,0,0,4
2025-07-04,ST001,SKU0060,13,13,0,3329.95,1326.91,0,0,4
2025-07-04,ST001,SKU0061,21,21,0,9877.14,2053.59,0,0,4
2025-07-04,ST001,SKU0062,6,6,0,1081.8,298.56,0,0,4
2025-07-04,ST001,SKU0063,7,7,0,2911.09,647.36,0,0,4
2025-07-04,ST001,SKU0064,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST001,SKU0065,2,2,0,1124.0,370.82,0,0,4
2025-07-04,ST001,SKU0066,8,8,0,1380.48,306.48,0,0,4
2025-07-04,ST001,SKU0067,4,4,0,809.08,206.44,0,0,4
2025-07-04,ST001,SKU0068,2,2,0,394.36,136.2,0,0,4
2025-07-04,ST001,SKU0069,6,6,0,611.28,250.68,0,0,4
2025-07-04,ST001,SKU0070,1,1,0,160.16,66.74,0,0,4
2025-07-04,ST001,SKU0071,13,13,0,2677.09,789.1,0,0,4
2025-07-04,ST001,SKU0072,6,6,0,850.02,172.62,0,0,4
2025-07-04,ST001,SKU0073,12,12,0,2626.32,846.12,0,0,4
2025-07-04,ST001,SKU0074,26,26,0,3460.86,884.78,0,0,4
2025-07-04,ST001,SKU0075,7,7,0,3961.23,832.09,0,0,4
2025-07-04,ST001,SKU0076,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST001,SKU0077,10,10,0,2503.7,1043.4,0,0,4
2025-07-04,ST001,SKU0078,1,1,0,152.86,61.21,0,0,4
2025-07-04,ST001,SKU0079,10,10,0,2753.2,1028.6,0,0,4
2025-07-04,ST001,SKU0080,8,8,0,2193.12,752.64,0,0,4
2025-07-04,ST001,SKU0081,3,3,0,1016.58,420.06,0,0,4
